TCode Description Source N Code
6 "Ave. Hourly Earnings:" FRED 43 CES3000000008
4 "Manufacturing Starts: Total" FRED 44 HOUST
4 "Starts: Northeast" FRED 45 HOUSTNE
4 "Starts: Midwest" FRED 46 HOUSTMW
4 "Starts: South" FRED 47 HOUSTS
4 "Starts: West" FRED 48 HOUSTW
4 "Permits" FRED 49 PERMIT
4 "Permits: Northeast" FRED 50 PERMITNE
4 "Permits: Midwest" FRED 51 PERMITMW
4 "Permits: South" FRED 52 PERMITS
4 "Permits: West" FRED 53 PERMITW
5 "Real PCE" FRED 54 DPCERA3M086SBEA
5 "Real M&T Sales" FRED 55 CMRMTSPL
5 "Retail and Food Services Sales" FRED 56 RETAIL
5 "Orders: Consumer Goods" FRED 57 ACOGNO
5 "Orders: Nondefense Capital Goods" FRED 58 ANDENO
5 "Unfilled Orders: Durable Goods" FRED 59 AMDMUO
5 "Total Business Inventories" FRED 60 BUSINV
2 "Inventories to Sales Ratio" FRED 61 ISRATIO
2 "Consumer Sentiment Index" FRED 62 UMCSENT
6 "M1 Money Stock" FRED 63 M1SL
6 "M2 Money Stock" FRED 64 M2SL
6 "MABMM301USM189S in FRED, M3 for the United States" FRED 65 M3SL
5 "Real M2 Money Stock" FRED 66 M2REAL
5 "Real Personal Income" FRED 1 RPI
5 "RPI ex. Transfers" FRED 2 W875RX1
5 "IP Index" FRED 3 INDPRO
5 "IP: Final Products and Supplies" FRED 4 IPFPNSS
5 "IP: Final Products" FRED 5 IPFINAL
5 "IP: Consumer Goods" FRED 6 IPCONGD
5 "IP: Durable Consumer Goods" FRED 7 IPDCONGD
5 "IP: Nondurable Consumer Goods" FRED 8 IPNCONGD
5 "IP: Business Equipment" FRED 9 IPBUSEQ
5 "IP: Materials" FRED 10 IPMAT
5 "IP: Durable Materials" FRED 11 IPDMAT
5 "IP: Nondurable Materials" FRED 12 IPNMAT
5 "IP: Manufacturing" FRED 13 IPMANSICS
5 "IP: Residential Utilities" FRED 14 IPB51222S
5 "IP: Fuels" FRED 15 IPFUELS
5 "Civilian Labor Force" FRED 16 CLF16OV
5 "Civilian Employment" FRED 17 CE16OV
2 "Civilian Unemployment Rate" FRED 18 UNRATE
2 "Average Duration of Unemployment" FRED 19 UEMPMEAN
5 "Civilians Unemployed ¡5 Weeks" FRED 20 UEMPLT5
5 "Civilians Unemployed 5-14 Weeks" FRED 21 UEMP5TO14
5 "Civilians Unemployed ¿15 Weeks" FRED 22 UEMP15OV
5 "Civilians Unemployed 15-26 Weeks" FRED 23 UEMP15T26
5 "Civilians Unemployed ¿27 Weeks" FRED 24 UEMP27OV
5 "All Employees: Total nonfarm" FRED 25 PAYEMS
5 "All Employees: Goods-Producing" FRED 26 USGOOD
5 "All Employees: Mining and Logging" FRED 27 CES1021000001
5 "All Employees: Construction" FRED 28 USCONS
5 "All Employees: Manufacturing" FRED 29 MANEMP
5 "All Employees: Durable goods" FRED 30 DMANEMP
5 "All Employees: Nondurable goods" FRED 31 NDMANEMP
5 "All Employees: Service Industries" FRED 32 SRVPRD
5 "All Employees: TT&U" FRED 33 USTPU
